1 7
1 1 0    # Timoshenko_flag  recover_flag  thermal_flag
0 0 0 0  # curve_flag  oblique_flag  trapeze_flag  Vlasov_flag

20168 6032 4   # nnode  nelem  nmate   (where: nnode = total number of nodes, nelem = total number of elements, nmate = total number of material types)

    1    -0.83600000    -0.25400000
    2    -0.83600000    -0.25338000
    3    -0.83600000    -0.25275000
    4    -0.83600000    -0.25213000
    5    -0.83600000    -0.25150000
    6    -0.83600000    -0.25087000
    7    -0.83600000    -0.25025000
    8    -0.83600000    -0.24962000
    9    -0.83600000    -0.24900000
   10    -0.83581000    -0.25400000
   11    -0.83581000    -0.25275000
   12    -0.83581000    -0.25150000
   13    -0.83581000    -0.25025000
   14    -0.83581000    -0.24900000
   15    -0.83562000    -0.25400000
   16    -0.83562000    -0.25338000
   17    -0.83562000    -0.25275000
   18    -0.83562000    -0.25213000
   19    -0.83562000    -0.25150000
   20    -0.83562000    -0.25087000
   21    -0.83562000    -0.25025000
   22    -0.83562000    -0.24962000
   23    -0.83562000    -0.24900000
   24    -0.83600000    -0.24617000
   25    -0.83600000    -0.24334000
   26    -0.83600000    -0.24051000
   27    -0.83600000    -0.23768000
   28    -0.83600000    -0.23485000
   29    -0.83600000    -0.23202000
   30    -0.83600000    -0.22919000
   31    -0.83600000    -0.22636000
   32    -0.83600000    -0.22353000
   33    -0.83600000    -0.22070000
   34    -0.83600000    -0.21787000
   35    -0.83600000    -0.21505000
   36    -0.83600000    -0.21222000
   37    -0.83600000    -0.20939000
   38    -0.83600000    -0.20656000
   39    -0.83600000    -0.20373000
   40    -0.83600000    -0.20090000
   41    -0.83600000    -0.19807000
   42    -0.83600000    -0.19524000
   43    -0.83600000    -0.19241000
   44    -0.83600000    -0.18958000
   45    -0.83600000    -0.18675000
   46    -0.83600000    -0.18392000
   47    -0.83600000    -0.18109000
   48    -0.83600000    -0.17826000
   49    -0.83600000    -0.17543000
   50    -0.83600000    -0.17260000
   51    -0.83600000    -0.16977000
   52    -0.83600000    -0.16694000
   53    -0.83600000    -0.16411000
   54    -0.83600000    -0.16128000
   55    -0.83600000    -0.15845000
   56    -0.83600000    -0.15563000
   57    -0.83600000    -0.15280000
   58    -0.83600000    -0.14997000
   59    -0.83600000    -0.14714000
   60    -0.83600000    -0.14431000
   61    -0.83600000    -0.14148000
   62    -0.83600000    -0.13865000
   63    -0.83600000    -0.13582000
   64    -0.83600000    -0.13299000
   65    -0.83600000    -0.13016000
   66    -0.83600000    -0.12733000
   67    -0.83600000    -0.12450000
   68    -0.83600000    -0.12167000
   69    -0.83600000    -0.11884000
   70    -0.83600000    -0.11601000
   71    -0.83600000    -0.11318000
   72    -0.83600000    -0.11035000
   73    -0.83600000    -0.10752000
   74    -0.83600000    -0.10469000
   75    -0.83600000    -0.10186000
   76    -0.83600000    -0.09903410
   77    -0.83600000    -0.09620450
   78    -0.83600000    -0.09337500
   79    -0.83600000    -0.09054550
   80    -0.83600000    -0.08771590
   81    -0.83600000    -0.08488640
   82    -0.83600000    -0.08205680
   83    -0.83600000    -0.07922730
   84    -0.83600000    -0.07639770
   85    -0.83600000    -0.07356820
   86    -0.83600000    -0.07073860
   87    -0.83600000    -0.06790910
   88    -0.83600000    -0.06507950
   89    -0.83600000    -0.06225000
   90    -0.83600000    -0.05942050
   91    -0.83600000    -0.05659090
   92    -0.83600000    -0.05376140
   93    -0.83600000    -0.05093180
   94    -0.83600000    -0.04810230
   95    -0.83600000    -0.04527270
   96    -0.83600000    -0.04244320
   97    -0.83600000    -0.03961360
   98    -0.83600000    -0.03678410
   99    -0.83600000    -0.03395450
  100    -0.83600000    -0.03112500
  101    -0.83600000    -0.02829550
  102    -0.83600000    -0.02546590
  103    -0.83600000    -0.02263640
  104    -0.83600000    -0.01980680
  105    -0.83600000    -0.01697730
  106    -0.83600000    -0.01414770
  107    -0.83600000    -0.01131820
  108    -0.83600000    -0.00848864
  109    -0.83600000    -0.00565909
  110    -0.83600000    -0.00282955
  111    -0.83600000    -0.00000000
  112    -0.83600000     0.00282955
  113    -0.83600000     0.00565909
  114    -0.83600000     0.00848864
  115    -0.83600000     0.01131820
  116    -0.83600000     0.01414770
  117    -0.83600000     0.01697730
  118    -0.83600000     0.01980680
  119    -0.83600000     0.02263640
  120    -0.83600000     0.02546590
  121    -0.83600000     0.02829550
  122    -0.83600000     0.03112500
  123    -0.83600000     0.03395450
  124    -0.83600000     0.03678410
  125    -0.83600000     0.03961360
  126    -0.83600000     0.04244320
  127    -0.83600000     0.04527270
  128    -0.83600000     0.04810230
  129    -0.83600000     0.05093180
  130    -0.83600000     0.05376140
  131    -0.83600000     0.05659090
  132    -0.83600000     0.05942050
  133    -0.83600000     0.06225000
  134    -0.83600000     0.06507950
  135    -0.83600000     0.06790910
  136    -0.83600000     0.07073860
  137    -0.83600000     0.07356820
  138    -0.83600000     0.07639770
  139    -0.83600000     0.07922730
  140    -0.83600000     0.08205680
  141    -0.83600000     0.08488640
  142    -0.83600000     0.08771590
  143    -0.83600000     0.09054550
  144    -0.83600000     0.09337500
  145    -0.83600000     0.09620450
  146    -0.83600000     0.09903410
  147    -0.83600000     0.10186000
  148    -0.83600000     0.10469000
  149    -0.83600000     0.10752000
  150    -0.83600000     0.11035000
  151    -0.83600000     0.11318000
  152    -0.83600000     0.11601000
  153    -0.83600000     0.11884000
  154    -0.83600000     0.12167000
  155    -0.83600000     0.12450000
  156    -0.83600000     0.12733000
  157    -0.83600000     0.13016000
  158    -0.83600000     0.13299000
  159    -0.83600000     0.13582000
  160    -0.83600000     0.13865000
  161    -0.83600000     0.14148000
  162    -0.83600000     0.14431000
  163    -0.83600000     0.14714000
  164    -0.83600000     0.14997000
  165    -0.83600000     0.15280000
  166    -0.83600000     0.15562000
  167    -0.83600000     0.15845000
  168    -0.83600000     0.16128000
  169    -0.83600000     0.16411000
  170    -0.83600000     0.16694000
  171    -0.83600000     0.16977000
  172    -0.83600000     0.17260000
