# r_j/R   g/c     constlddist [m]
# ======  ======  ===============
   0.245    1.00           0.6928
   0.274    1.00           0.6880
   0.452    1.00           0.5579
   0.540    1.00           0.5066
   0.629    1.00           0.4682
   0.245    0.75           0.7070
   0.274    0.75           0.7051
   0.452    0.75           0.5843
   0.540    0.75           0.5323
   0.629    0.75           0.4898
   0.245    0.50           0.7303
   0.274    0.50           0.7331
   0.452    0.50           0.5842
   0.540    0.50           0.5912
   0.629    0.50           0.5449
