# spar  x_1       eta      spar    sparcap  sparcap  rtbldup  rtbldup  shearwb  shearwb  sw foam  sw biax  twist   twist   twist rate  blde  blade   chord
# stn   (m)       (-)      frac,%  bse (m)  ht (m)   bse (m)  ht (m)   bse (m)  ht (m)   bse (m)  bse (m)  (deg)   (rad)   k1 (rad/m)  stn   frac,%  (m)
# ----  ----  -----------  ------  -------  -------  -------  -------  -------  -------  -------  -------  ------  ------  ----------  ----  ------  -----
   01    0.0  0.00000E+00    0.0     1.5     0.0065   1.586   0.03321   0.043    5.266    0.040    0.0015   0.000   0.000   0.00000      7     2.4   5.792
   02    0.2  2.17628E-03    0.2     1.5     0.0065   1.586   0.02899   0.043    5.265    0.040    0.0015   0.000   0.000   0.00000      8     2.6   5.811
   03    2.3  2.50272E-02    2.5     1.5     0.0100   1.586   0.02108   0.043    5.009    0.040    0.0015   0.000   0.000   0.00000      9     4.7   6.058
   04    4.4  4.78781E-02    4.8     1.5     0.0150   1.586   0.01318   0.043    4.741    0.040    0.0015   0.000   0.000   0.00000     10     6.8   6.304
   05    6.5  7.07291E-02    7.1     1.5     0.0255   1.586   0.00791   0.043    4.425    0.040    0.0015   0.000   0.000   0.00000     11     8.9   6.551
   06    9.0  9.79325E-02    9.8     1.5     0.0340   1.586   0.00264   0.043    4.091    0.040    0.0015   0.000   0.000   0.00000     12    11.4   6.835
   07   12.2  1.32753E-01   13.3     1.5     0.0470   0.000   0.00000   0.043    3.680    0.040    0.0015   0.000   0.000   0.00000     13    14.6   7.215
   08   13.9  1.51251E-01   15.1     1.5     0.0555   0.000   0.00000   0.043    3.480    0.040    0.0015   0.000   0.000   0.00000     14    16.3   7.404
   09   15.5  1.68662E-01   16.9     1.5     0.0595   0.000   0.00000   0.043    3.285    0.040    0.0015   0.000   0.000   0.00000     15    17.9   7.552
   10   17.1  1.86072E-01   18.6     1.5     0.0680   0.000   0.00000   0.043    3.089    0.040    0.0015   0.000   0.000   0.00000     16    19.5   7.628
   11   19.8  2.15452E-01   21.5     1.5     0.0680   0.000   0.00000   0.043    2.882    0.040    0.0015   0.000   0.000   0.00000     17    22.2   7.585
   12   22.5  2.44831E-01   24.5     1.5     0.0680   0.000   0.00000   0.043    2.696    0.040    0.0015   0.000   0.000   0.00000     18    24.9   7.488
   13   25.2  2.74211E-01   27.4     1.5     0.0640   0.000   0.00000   0.043    2.498    0.040    0.0015   0.000   0.000   0.00000     19    27.6   7.347
   14   33.4  3.63439E-01   36.3     1.5     0.0595   0.000   0.00000   0.043    2.077    0.040    0.0015   0.000   0.000   0.00000     20    35.8   6.923
   15   41.5  4.51578E-01   45.2     1.5     0.0555   0.000   0.00000   0.043    1.672    0.040    0.0015   0.000   0.000   0.00000     21    43.9   6.429
   16   49.6  5.39717E-01   54.0     1.5     0.0510   0.000   0.00000   0.043    1.360    0.040    0.0015   0.000   0.000   0.00000     22    52.0   5.915
   17   57.8  6.28945E-01   62.9     1.5     0.0425   0.000   0.00000   0.043    1.138    0.040    0.0015   0.000   0.000   0.00000     23    60.2   5.417
   18   64.3  6.99674E-01   70.0     1.5     0.0340   0.000   0.00000   0.043    0.954    0.040    0.0015   0.000   0.000   0.00000     24    66.7   5.019
   19   65.9  7.17084E-01   71.7     1.5     0.0320   0.000   0.00000   0.043    0.910    0.040    0.0015   0.000   0.000   0.00000     25    68.3   4.920
   20   70.8  7.70403E-01   77.0     1.5     0.0235   0.000   0.00000   0.043    0.832    0.040    0.0015   0.000   0.000   0.00000     26    73.2   4.621
   21   74.0  8.05223E-01   80.5     1.5     0.0170   0.000   0.00000   0.043    0.796    0.040    0.0015   0.000   0.000   0.00000     27    76.4   4.422
   22   82.2  8.94450E-01   89.4     1.5     0.0085   0.000   0.00000   0.043    0.707    0.040    0.0015   0.000   0.000   0.00000     28    84.6   3.925
   23   87.0  9.46681E-01   94.7     1.5     0.0045   0.000   0.00000   0.043    0.651    0.040    0.0015   0.000   0.000   0.00000     29    89.4   3.619
   24   91.9  1.00000E+00  100.0     1.5     0.0025   0.000   0.00000   0.043    0.508    0.040    0.0015   0.000   0.000   0.00000     30    94.3   2.824
