# spar  x_1       eta      spar    sparcap  sparcap  rtbldup  rtbldup   shearwb  shearwb  sw foam  sw biax  twist   twist   twist rate  blde  blade   chord   g/c   x_3     curvature 
# stn   (m)       (-)      frac,%  bse (m)  ht (m)   bse (m)  ht (m)    bse (m)  ht (m)   bse (m)  bse (m)  (deg)   (rad)   k1 (rad/m)  stn   frac,%  (m)     (-)   (m)     k2 (rad/m)
# ----  ----  -----------  ------  -------  -------  -------  --------  -------  -------  -------  -------  ------  ------  ----------  ----  ------  -----  -----  ------  ----------
   01    0.0  0.00000E+00    0.0     1.5     0.013    1.672    0.0630    0.086    5.266    0.080    0.003    0.00    0.00    0.00000      7     2.4   5.792   0.00  0.0000   0.00000  
   02    0.2  2.17628E-03    0.2     1.5     0.013    1.672    0.0550    0.086    5.265    0.080    0.003    0.00    0.00    0.00000      8     2.6   5.811   0.00  0.0000   0.00000  
   03    2.3  2.50272E-02    2.5     1.5     0.010    1.672    0.0200    0.086    2.5045   0.080    0.003    0.00    0.00    0.00000      9     4.7   6.058   0.20  1.5524   0.2786   
   04    4.4  4.78781E-02    4.8     1.5     0.015    1.672    0.0125    0.086    2.3705   0.080    0.003    0.00    0.00    0.00000     10     6.8   6.304   0.50  1.907    0.00000  
   05    6.5  7.07291E-02    7.1     1.5     0.0255   1.672    0.0075    0.086    2.2125   0.080    0.003    0.00    0.00    0.00000     11     8.9   6.551   0.50  1.907    0.00000  
   06    9.0  9.79325E-02    9.8     1.5     0.034    1.672    0.0025    0.086    2.0455   0.080    0.003    0.00    0.00    0.00000     12    11.4   6.835   0.50  1.907    0.00000  
   07   12.2  1.32753E-01   13.3     1.5     0.047    0.000    0.0000    0.086    1.8400   0.080    0.003    0.00    0.00    0.00000     13    14.6   7.215   0.50  1.907    0.00000  
   08   13.9  1.51251E-01   15.1     1.5     0.0555   0.000    0.0000    0.086    1.7400   0.080    0.003    0.00    0.00    0.00000     14    16.3   7.404   0.50  1.907    0.00000  
   09   15.5  1.68662E-01   16.9     1.5     0.0555   0.000    0.0000    0.086    1.6425   0.080    0.003    0.00    0.00    0.00000     15    17.9   7.552   0.50  1.907    0.00000  
   10   17.1  1.86072E-01   18.6     1.5     0.068    0.000    0.0000    0.086    1.5445   0.080    0.003    0.00    0.00    0.00000     16    19.5   7.628   0.18  1.4073   0.2869   
   11   19.8  2.15452E-01   21.5     1.5     0.136    0.000    0.0000    0.086    2.882    0.080    0.003    0.00    0.00    0.00000     17    22.2   7.585   0.00  0.0000   0.00000  
   12   22.5  2.44831E-01   24.5     1.5     0.136    0.000    0.0000    0.086    2.696    0.080    0.003    0.00    0.00    0.00000     18    24.9   7.488   0.00  0.0000   0.00000  
   13   25.2  2.74211E-01   27.4     1.5     0.128    0.000    0.0000    0.086    2.498    0.080    0.003    0.00    0.00    0.00000     19    27.6   7.347   0.00  0.0000   0.00000  
   14   33.4  3.63439E-01   36.3     1.5     0.119    0.000    0.0000    0.086    2.077    0.080    0.003    0.00    0.00    0.00000     20    35.8   6.923   0.00  0.0000   0.00000  
   15   41.5  4.51578E-01   45.2     1.5     0.111    0.000    0.0000    0.086    1.672    0.080    0.003    0.00    0.00    0.00000     21    43.9   6.429   0.00  0.0000   0.00000  
   16   49.6  5.39717E-01   54.0     1.5     0.102    0.000    0.0000    0.086    1.360    0.080    0.003    0.00    0.00    0.00000     22    52.0   5.915   0.00  0.0000   0.00000  
   17   57.8  6.28945E-01   62.9     1.5     0.085    0.000    0.0000    0.086    1.138    0.080    0.003    0.00    0.00    0.00000     23    60.2   5.417   0.00  0.0000   0.00000  
   18   64.3  6.99674E-01   70.0     1.5     0.068    0.000    0.0000    0.086    0.954    0.080    0.003    0.00    0.00    0.00000     24    66.7   5.019   0.00  0.0000   0.00000  
   19   65.9  7.17084E-01   71.7     1.5     0.064    0.000    0.0000    0.086    0.910    0.080    0.003    0.00    0.00    0.00000     25    68.3   4.920   0.00  0.0000   0.00000  
   20   70.8  7.70403E-01   77.0     1.5     0.047    0.000    0.0000    0.086    0.832    0.080    0.003    0.00    0.00    0.00000     26    73.2   4.621   0.00  0.0000   0.00000  
   21   74.0  8.05223E-01   80.5     1.5     0.034    0.000    0.0000    0.086    0.796    0.080    0.003    0.00    0.00    0.00000     27    76.4   4.422   0.00  0.0000   0.00000  
   22   82.2  8.94450E-01   89.4     1.5     0.017    0.000    0.0000    0.086    0.707    0.080    0.003    0.00    0.00    0.00000     28    84.6   3.925   0.00  0.0000   0.00000  
   23   87.0  9.46681E-01   94.7     1.5     0.009    0.000    0.0000    0.086    0.651    0.080    0.003    0.00    0.00    0.00000     29    89.4   3.619   0.00  0.0000   0.00000  
   24   91.9  1.00000E+00  100.0     1.5     0.005    0.000    0.0000    0.086    0.508    0.080    0.003    0.00    0.00    0.00000     30    94.3   2.824   0.00  0.0000   0.00000  
