# spar  x_1       eta      spar    sparcap  sparcap  rtbldup  rtbldup  shearwb  shearwb  sw foam  sw biax  twist   twist   twist rate  blde  blade   chord
# stn   (m)       (-)      frac,%  bse (m)  ht (m)   bse (m)  ht (m)   bse (m)  ht (m)   bse (m)  bse (m)  (deg)   (rad)   k1 (rad/m)  stn   frac,%  (m)
# ----  ----  -----------  ------  -------  -------  -------  -------  -------  -------  -------  -------  ------  ------  ----------  ----  ------  -----
   01    0.0  0.00000E+00    0.0     1.5     0.013    1.672    0.063    0.086    5.266    0.080    0.003   13.308   0.232   0.00000      7     2.4   5.792
   02    0.2  2.17628E-03    0.2     1.5     0.013    1.672    0.055    0.086    5.265    0.080    0.003   13.308   0.232   0.00000      8     2.6   5.811
   03    2.3  2.50272E-02    2.5     1.5     0.020    1.672    0.040    0.086    5.009    0.080    0.003   13.308   0.232   0.00000      9     4.7   6.058
   04    4.4  4.78781E-02    4.8     1.5     0.030    1.672    0.025    0.086    4.741    0.080    0.003   13.308   0.232   0.00000     10     6.8   6.304
   05    6.5  7.07291E-02    7.1     1.5     0.051    1.672    0.015    0.086    4.425    0.080    0.003   13.308   0.232   0.00000     11     8.9   6.551
   06    9.0  9.79325E-02    9.8     1.5     0.068    1.672    0.005    0.086    4.091    0.080    0.003   13.308   0.232   0.00000     12    11.4   6.835
   07   12.2  1.32753E-01   13.3     1.5     0.094    0.000    0.000    0.086    3.680    0.080    0.003   13.308   0.232   0.00000     13    14.6   7.215
   08   13.9  1.51251E-01   15.1     1.5     0.111    0.000    0.000    0.086    3.480    0.080    0.003   13.177   0.230  -0.00134     14    16.3   7.404
   09   15.5  1.68662E-01   16.9     1.5     0.119    0.000    0.000    0.086    3.285    0.080    0.003   13.046   0.228  -0.00143     15    17.9   7.552
   10   17.1  1.86072E-01   18.6     1.5     0.136    0.000    0.000    0.086    3.089    0.080    0.003   12.915   0.225  -0.00143     16    19.5   7.628
   11   19.8  2.15452E-01   21.5     1.5     0.136    0.000    0.000    0.086    2.882    0.080    0.003   12.133   0.212  -0.00505     17    22.2   7.585
   12   22.5  2.44831E-01   24.5     1.5     0.136    0.000    0.000    0.086    2.696    0.080    0.003   11.350   0.198  -0.00506     18    24.9   7.488
   13   25.2  2.74211E-01   27.4     1.5     0.128    0.000    0.000    0.086    2.498    0.080    0.003   10.568   0.184  -0.00505     19    27.6   7.347
   14   33.4  3.63439E-01   36.3     1.5     0.119    0.000    0.000    0.086    2.077    0.080    0.003    9.166   0.160  -0.00298     20    35.8   6.923
   15   41.5  4.51578E-01   45.2     1.5     0.111    0.000    0.000    0.086    1.672    0.080    0.003    7.688   0.134  -0.00318     21    43.9   6.429
   16   49.6  5.39717E-01   54.0     1.5     0.102    0.000    0.000    0.086    1.360    0.080    0.003    6.180   0.108  -0.00325     22    52.0   5.915
   17   57.8  6.28945E-01   62.9     1.5     0.085    0.000    0.000    0.086    1.138    0.080    0.003    4.743   0.083  -0.00306     23    60.2   5.417
   18   64.3  6.99674E-01   70.0     1.5     0.068    0.000    0.000    0.086    0.954    0.080    0.003    3.633   0.063  -0.00298     24    66.7   5.019
   19   65.9  7.17084E-01   71.7     1.5     0.064    0.000    0.000    0.086    0.910    0.080    0.003    3.383   0.059  -0.00273     25    68.3   4.920
   20   70.8  7.70403E-01   77.0     1.5     0.047    0.000    0.000    0.086    0.832    0.080    0.003    2.735   0.048  -0.00231     26    73.2   4.621
   21   74.0  8.05223E-01   80.5     1.5     0.034    0.000    0.000    0.086    0.796    0.080    0.003    2.348   0.041  -0.00211     27    76.4   4.422
   22   82.2  8.94450E-01   89.4     1.5     0.017    0.000    0.000    0.086    0.707    0.080    0.003    1.380   0.024  -0.00206     28    84.6   3.925
   23   87.0  9.46681E-01   94.7     1.5     0.009    0.000    0.000    0.086    0.651    0.080    0.003    0.799   0.014  -0.00211     29    89.4   3.619
   24   91.9  1.00000E+00  100.0     1.5     0.005    0.000    0.000    0.086    0.508    0.080    0.003    0.280   0.005  -0.00185     30    94.3   2.824
